,日付,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残
0,2023-08-25,4950,4987,4942,4968,883800,4968,0,0,0.0,0,0,0,0
1,2023-08-24,4945,4968,4932,4964,903200,4964,0,0,0.0,0,0,16200,21200
2,2023-08-23,4896,4959,4883,4959,880800,4959,0,0,0.0,0,0,17200,21500
3,2023-08-22,4889,4902,4848,4902,1008900,4902,0,0,0.0,0,0,8700,23700
4,2023-08-21,4861,4916,4846,4876,1702800,4876,0,0,0.0,0,0,12800,39500
5,2023-08-18,4748,4781,4736,4773,884600,4773,66800,1005700,15.06,0,0,200,36300
6,2023-08-17,4826,4831,4721,4778,1423200,4778,0,0,0.0,0,0,200,36300
7,2023-08-16,4862,4862,4819,4827,890100,4827,0,0,0.0,0,0,2900,36000
8,2023-08-15,4949,4954,4879,4888,1054400,4888,0,0,0.0,0,0,7800,46700
9,2023-08-14,4845,4927,4800,4926,2176300,4926,0,0,0.0,0,0,11800,46500
10,2023-08-10,4836,4844,4816,4836,2078300,4836,65400,1122400,17.16,0,0,3600,69700
11,2023-08-09,4844,4861,4814,4831,1523800,4831,0,0,0.0,0,0,4200,69200
12,2023-08-08,4882,4888,4845,4854,1403900,4854,0,0,0.0,0,0,5000,65400
13,2023-08-07,4847,4862,4824,4845,1433000,4845,0,0,0.0,0,0,5200,64800
14,2023-08-04,4895,4900,4843,4859,2719600,4859,77400,1099400,14.2,0,0,7400,60400
15,2023-08-03,4910,5004,4888,4965,3058300,4965,0,0,0.0,0,0,13200,53000
16,2023-08-02,5134,5182,5113,5162,1421300,5162,0,0,0.0,0,0,29900,49000
17,2023-08-01,5110,5152,5101,5140,1118900,5140,0,0,0.0,0,0,23700,53700
18,2023-07-31,5100,5145,5089,5136,1281800,5136,0,0,0.0,0,0,55400,56000
19,2023-07-28,5052,5077,5011,5077,2632900,5077,126300,1091200,8.64,0,0,46100,61600
20,2023-07-27,5071,5094,5046,5088,748900,5088,0,0,0.0,0,0,22800,62400
21,2023-07-26,5100,5114,5070,5098,842500,5098,0,0,0.0,0,0,19600,62800
22,2023-07-25,5054,5080,5044,5080,727800,5080,0,0,0.0,0,0,16600,65800
23,2023-07-24,5079,5084,5049,5060,899700,5060,0,0,0.0,0,0,16900,65500
24,2023-07-21,5031,5064,5007,5064,1166900,5064,105200,1165200,11.08,0,0,18100,69400
25,2023-07-20,5022,5031,4990,4997,883900,4997,0,0,0.0,0,0,11600,72300
26,2023-07-19,4985,5002,4963,5002,932800,5002,0,0,0.0,0,0,11800,73000
27,2023-07-18,4921,4959,4918,4959,824000,4959,0,0,0.0,0,0,12400,75600
28,2023-07-14,4893,4929,4880,4921,913200,4921,94300,1237400,13.12,0,0,8600,75500
29,2023-07-13,4898,4904,4865,4893,1305100,4893,0,0,0.0,0,0,7500,70500
30,2023-07-12,4883,4898,4818,4880,1641700,4880,0,0,0.0,0,0,7000,70200
31,2023-07-11,4951,4955,4885,4897,1151100,4897,0,0,0.0,0,0,7000,66100
32,2023-07-10,4976,4980,4901,4918,1402900,4918,0,0,0.0,0,0,8500,58900
33,2023-07-07,4959,4987,4921,4959,1294900,4959,102000,1113600,10.92,0,0,11900,53200
34,2023-07-06,5050,5054,4986,5002,1371600,5002,0,0,0.0,0,0,15100,53400
35,2023-07-05,5079,5080,5034,5061,1610900,5061,0,0,0.0,0,0,17400,56800
36,2023-07-04,5184,5187,5131,5131,925500,5131,0,0,0.0,0,0,22700,55300
37,2023-07-03,5180,5199,5175,5176,904000,5176,0,0,0.0,0,0,30000,43200
38,2023-06-30,5170,5181,5131,5163,1440500,5163,143800,898400,6.25,0,0,27200,77500
39,2023-06-29,5250,5254,5140,5166,2155400,5166,0,0,0.0,0,1,268300,170200
40,2023-06-28,5249,5360,5244,5355,2488800,5355,0,0,0.0,14.1,3,563600,40100
41,2023-06-27,5255,5255,5191,5221,967200,5221,0,0,0.0,0.1,1,279400,96500
42,2023-06-26,5249,5266,5218,5234,1013500,5234,0,0,0.0,0.1,1,280300,99900
43,2023-06-23,5247,5274,5208,5222,1070400,5222,356100,731300,2.05,0.1,1,275000,111700
44,2023-06-22,5218,5260,5211,5254,1025800,5254,0,0,0.0,0.1,1,273300,86300
45,2023-06-21,5210,5224,5187,5209,1213300,5209,0,0,0.0,0.15,3,173600,77700
46,2023-06-20,5231,5240,5191,5224,1038400,5224,0,0,0.0,0,0,34800,50900
